Reporting Country,Port of Inspection,Ship Flag,Flag Performance List NUM,Description,Age_Category,Size_Category,Recognised Organisation (RO),RO Performance List NUM,Total Defficiencies in 36months,SUM of GroundsForDetention in 36months,Deficiency_Count,IsDetained
NO,Other,NL,0,Warship,2,2,115,0.0,2,0,0,0
NL,NLAMS,PA,1,Warship,2,2,169,0.0,1,0,4,0
NL,NLRTM,LR,0,Warship,2,3,121,0.0,1,0,9,0
NL,NLRTM,GR,0,Tanker,3,4,160,0.0,1,0,2,0
NL,NLAMS,LR,0,Warship,2,2,128,0.0,0,0,0,0
DE,Other,NO,0,Warship,3,1,115,0.0,3,0,0,0
DE,DEHAM,FR,0,Warship,3,2,115,0.0,6,3,3,0
DE,DEBRV,PA,1,Warship,3,3,115,0.0,0,0,3,0
DE,DEBRV,MT,0,Warship,3,3,128,0.0,0,0,0,0
NO,Other,MH,0,Warship,2,2,169,0.0,0,0,1,0
NL,NLRTM,DK,0,Warship,2,3,160,0.0,0,0,1,0
GR,GRKLX,CY,0,Warship,3,3,115,0.0,0,0,0,0
Other,MTMAR,MH,0,ChemicalTanker,3,3,115,0.0,0,0,6,0
NL,NLRTM,MH,0,Warship,3,3,169,0.0,2,0,11,0
SE,SEMMA,PA,1,Warship,4,2,160,0.0,1,0,1,0
LV,LVRIX,AG,0,Warship,3,1,115,0.0,0,0,1,0
DE,DERSK,FI,0,Warship,2,3,186,0.0,0,0,0,0
IT,ITRAN,PA,1,Warship,2,2,169,0.0,0,0,14,0
IT,ITTRS,TR,0,Warship,3,3,128,0.0,18,7,0,0
IT,ITSPA,GR,0,Tanker,2,3,160,0.0,0,0,2,0
DK,DKFRC,LR,0,ChemicalTanker,3,3,115,0.0,0,0,6,0
DE,DEEME,GB,0,Warship,1,1,115,0.0,0,0,0,0
Other,LTKLJ,MH,0,Warship,3,3,169,0.0,6,0,0,0
Other,FIKTK,MH,0,Warship,2,2,101,0.0,0,0,0,0
ES,ESVLC,SG,0,Warship,2,3,160,0.0,0,0,0,0
DK,DKRAN,CY,0,Warship,4,1,186,0.0,2,0,0,0
IT,ITCHI,TG,2,Warship,4,1,Other,1.0,17,0,5,0
GB,Other,BS,0,Warship,4,2,115,0.0,3,0,3,0
Other,Other,LR,0,Warship,2,2,128,0.0,31,11,0,0
IT,ITGOA,Other,1,Warship,2,3,128,0.0,0,0,0,0
Other,CYZYY,GR,0,Warship,4,1,Other,1.0,1,0,1,0
GB,GBLON,MH,0,Tanker,2,3,101,0.0,0,0,1,0
DK,DKKOG,Other,0,Special,4,1,115,0.0,15,0,0,0
PL,PLNOW,MH,0,Warship,4,3,128,0.0,0,0,4,0
Other,HRPLE,Other,1,Warship,3,1,115,0.0,10,0,0,0
DE,Other,PT,0,Warship,2,1,115,0.0,0,0,0,0
GB,GBSSH,HK,0,Warship,2,3,128,0.0,0,0,2,0
Other,HRRJK,SG,0,Warship,3,2,128,0.0,1,0,3,0
Other,LTKLJ,DE,0,Warship,4,1,Other,0.0,0,0,3,0
GR,GRKLL,PA,1,ChemicalTanker,3,1,132,3.0,2,0,6,0
GB,Other,MT,0,Tanker,2,4,128,0.0,0,0,0,0
IT,ITVCE,PA,1,Warship,3,1,Other,1.0,4,0,2,0
ES,ESSCT,PT,0,Warship,3,2,128,0.0,3,0,4,0
PT,PTAVE,BB,0,Warship,3,2,Other,0.0,5,0,0,0
ES,ESSDR,TR,0,Warship,2,2,115,0.0,0,0,0,0
ES,ESBIO,AG,0,Warship,3,1,115,0.0,0,0,0,0
ES,ESBIO,DK,0,ChemicalTanker,2,3,128,0.0,0,0,0,0
CA,CAQUE,LR,0,Warship,2,3,115,0.0,0,0,2,0
DE,DEHAM,SG,0,Warship,2,3,128,0.0,1,0,0,0
DE,DEHAM,SG,0,Warship,3,4,169,0.0,0,0,0,0
DE,DERSK,Other,1,Warship,2,2,158,0.0,0,0,8,0
Other,Other,NL,0,Warship,3,1,115,0.0,0,0,0,0
NO,NOMON,MH,0,ChemicalTanker,1,3,169,0.0,0,0,1,0
DE,DEBRV,SE,0,Warship,2,3,128,0.0,1,0,0,0
IT,ITVCE,PA,1,Warship,3,3,169,0.0,0,0,4,0
NL,NLVLI,LR,0,Warship,3,3,101,0.0,0,0,0,0
NL,NLAMS,VU,2,Special,4,1,Other,3.0,5,0,6,0
NL,NLRTM,PA,1,ChemicalTanker,2,2,169,0.0,1,0,3,0
NL,NLAMS,LR,0,Warship,2,2,169,0.0,0,0,0,0
NL,NLRTM,PA,1,Warship,2,3,169,0.0,4,0,5,0
LV,LVRIX,NL,0,Warship,4,2,115,0.0,4,0,0,0
FR,FRNTE,LR,0,ChemicalTanker,3,2,158,0.0,0,0,2,1
NO,Other,BB,0,Warship,3,1,128,0.0,0,0,0,0
GR,GRPIR,LR,0,Tanker,2,4,160,0.0,0,0,1,0
SE,SEGOT,DK,0,Warship,2,4,101,0.0,1,0,0,0
BE,BEGNE,MT,0,Warship,3,3,115,0.0,0,0,9,0
BE,BEANR,NO,0,Warship,3,3,115,0.0,2,0,1,0
BE,BEZEE,PT,0,Warship,2,3,128,0.0,1,0,2,0
BE,BEANR,MH,0,ChemicalTanker,3,2,128,0.0,0,0,6,0
NO,NOMOB,GB,0,Warship,2,1,101,0.0,0,0,0,0
DE,DELBC,PT,0,Warship,3,1,128,0.0,8,0,0,0
NL,NLRTM,IM,0,Tanker,3,3,101,0.0,0,0,6,0
IT,ITTRS,PT,0,Warship,2,2,128,0.0,3,0,2,0
RO,ROAGI,PW,2,Warship,4,1,215,1.0,20,13,10,0
NO,Other,NL,0,Warship,3,2,128,0.0,17,0,3,0
DE,DEBRV,PT,0,Warship,3,3,128,0.0,3,0,0,0
RO,ROCND,LR,0,ChemicalTanker,3,1,115,0.0,22,0,6,0
PL,PLSWI,PA,1,Warship,2,3,169,0.0,0,0,4,0
PL,PLGDN,PA,1,Warship,2,4,128,0.0,3,0,1,0
DK,DKKOG,NO,0,Warship,3,1,115,0.0,2,0,2,0
PL,PLGDY,PA,1,Special,4,1,Other,1.0,3,0,3,0
DK,Other,Other,0,Warship,3,1,128,0.0,13,0,0,0
Other,MTMAR,LR,0,Warship,3,2,160,0.0,5,0,3,0
Other,HRRJK,AG,0,Warship,4,1,169,0.0,31,0,2,0
NO,Other,FI,0,Warship,3,2,128,0.0,12,0,4,0
Other,HRRJK,SG,0,Warship,2,4,160,0.0,0,0,0,0
FR,FRFOS,MH,0,Warship,3,4,115,0.0,0,0,0,0
DK,Other,PT,0,Warship,4,1,186,0.0,14,4,0,0
ES,ESCAS,LR,0,Tanker,3,2,128,0.0,0,0,0,0
Other,LTKLJ,NO,0,Warship,3,1,128,0.0,4,0,0,0
ES,ESTAR,LR,0,Warship,2,3,169,0.0,0,0,0,0
Other,IEAUG,MH,0,Warship,2,3,169,0.0,0,0,0,0
IT,ITGOA,SG,0,Warship,2,2,101,0.0,0,0,3,0
GB,GBGRG,AG,0,Warship,2,2,132,3.0,0,0,5,0
DK,DKAAR,LR,0,Warship,3,3,Other,3.0,0,0,3,0
ES,ESALG,Other,0,Warship,3,2,101,0.0,0,0,0,0
Other,HRRAS,Other,2,Warship,4,1,Other,3.0,36,0,5,0
GB,GBSOU,PT,0,Warship,3,3,128,0.0,10,2,4,0
GB,GBLON,MH,0,Warship,2,3,128,0.0,0,0,0,0
IT,ITRAN,Other,0,Warship,3,1,128,0.0,0,0,7,0
GB,GBPTB,PA,1,Warship,1,4,169,0.0,0,0,2,0
IT,ITAUG,LR,0,Tanker,2,3,115,0.0,0,0,13,0
